,id,title,release_year,country,duration,language,certification,gross,budget
0,1,Intolerance: Love's Struggle Throughout the Ages,1916,USA,123,null,Not Rated,null,385907
3,4,Metropolis,1927,Germany,145,German,Not Rated,26435.0,6000000
5,6,The Broadway Melody,1929,USA,100,English,Passed,2808000.0,379000
8,9,42nd Street,1933,USA,89,English,Unrated,2300000.0,439000
11,12,Top Hat,1935,USA,81,English,Approved,3000000.0,609000
12,13,Modern Times,1936,USA,87,English,G,163245.0,1500000
14,15,Snow White and the Seven Dwarfs,1937,USA,83,English,Approved,184925485.0,2000000
18,19,Gone with the Wind,1939,USA,226,English,G,198655278.0,3977000
20,21,The Wizard of Oz,1939,USA,102,English,Passed,22202612.0,2800000
22,23,Fantasia,1940,USA,120,English,G,76400000.0,2280000
23,24,Pinocchio,1940,USA,88,English,Approved,84300000.0,2600000
35,36,Duel in the Sun,1946,USA,144,English,Unrated,20400000.0,8000000
37,38,The Best Years of Our Lives,1946,USA,172,English,Not Rated,23650000.0,2100000
39,40,The Lady from Shanghai,1947,USA,92,English,Not Rated,7927.0,2300000
43,44,The Pirate,1948,USA,102,English,Approved,2956000.0,3700000
46,47,Annie Get Your Gun,1950,USA,107,English,Passed,8000000.0,3768785
53,54,The Greatest Show on Earth,1952,USA,152,English,Not Rated,36000000.0,4000000
56,57,"The Beast from 20,000 Fathoms",1953,USA,80,English,Approved,5000000.0,210000
57,58,The Robe,1953,USA,135,English,Unrated,36000000.0,5000000
60,61,On the Waterfront,1954,USA,108,English,Not Rated,9600000.0,910000
61,62,Seven Samurai,1954,Japan,202,Japanese,Unrated,269061.0,2000000
69,70,The Bridge on the River Kwai,1957,UK,161,English,PG,27200000.0,3000000
72,73,Some Like It Hot,1959,USA,120,English,Not Rated,25000000.0,2883848
75,76,Psycho,1960,USA,108,English,R,32000000.0,806947
81,82,West Side Story,1961,USA,152,English,Unrated,43650000.0,6000000
82,83,Dr. No,1962,UK,110,English,Approved,16067035.0,1100000
83,84,Lawrence of Arabia,1962,UK,227,English,PG,6000000.0,15000000
91,92,Cleopatra,1963,UK,251,English,Approved,57750000.0,31115000
93,94,From Russia with Love,1963,UK,115,English,Approved,24800000.0,2000000
95,96,"It's a Mad, Mad, Mad, Mad World",1963,USA,197,English,Approved,46300000.0,9400000
98,99,A Fistful of Dollars,1964,Italy,99,Italian,R,3500000.0,200000
99,100,A Hard Day's Night,1964,UK,87,English,Approved,515005.0,560000
101,102,Goldfinger,1964,UK,110,English,Approved,51100000.0,3000000
102,103,Mary Poppins,1964,USA,139,English,Approved,102300000.0,6000000
103,104,My Fair Lady,1964,USA,170,English,Approved,72000000.0,17000000
104,105,Nothing But a Man,1964,USA,95,English,Not Rated,12438.0,160000
108,109,Doctor Zhivago,1965,USA,200,English,PG-13,111722000.0,11000000
109,110,Major Dundee,1965,USA,152,English,Approved,14873.0,3800000
111,112,The Greatest Story Ever Told,1965,USA,225,English,G,8000000.0,20000000
113,114,The Sound of Music,1965,USA,174,English,G,163214286.0,8200000
114,115,Thunderball,1965,UK,130,English,Approved,63600000.0,9000000
119,120,"The Good, the Bad and the Ugly",1966,Italy,142,Italian,Approved,6100000.0,1200000
124,125,You Only Live Twice,1967,UK,117,English,Approved,43100000.0,9500000
125,126,2001: A Space Odyssey,1968,UK,161,English,G,56715371.0,12000000
131,132,Oliver!,1968,UK,153,English,G,16800000.0,10000000
136,137,Butch Cassidy and the Sundance Kid,1969,USA,110,English,M,102308900.0,6000000
139,140,Mississippi Mermaid,1969,France,123,French,R,26893.0,1600000
140,141,On Her Majesty's Secret Service,1969,UK,142,English,M,22800000.0,7000000
147,148,Beyond the Valley of the Dolls,1970,USA,109,English,X,9000000.0,900000
150,151,Darling Lili,1970,USA,143,English,G,5000000.0,25000000
155,156,Tora! Tora! Tora!,1970,Japan,160,English,G,14500000.0,25000000
157,158,Woodstock,1970,USA,215,English,R,13300000.0,600000
159,160,Diamonds Are Forever,1971,UK,120,English,GP,43800000.0,7200000
161,162,Fiddler on the Roof,1971,USA,181,English,G,50000000.0,9000000
162,163,Pink Narcissus,1971,USA,65,English,Not Rated,8231.0,27000
163,164,Sweet Sweetback's Baadasssss Song,1971,USA,97,English,R,15180000.0,500000
174,175,Pink Flamingos,1972,USA,108,English,NC-17,180483.0,10000
177,178,The Godfather,1972,USA,175,English,R,134821952.0,6000000
178,179,American Graffiti,1973,USA,112,English,PG,115000000.0,777000
181,182,Live and Let Die,1973,UK,121,English,PG,35400000.0,7000000
182,183,Mean Streets,1973,USA,112,English,R,32645.0,500000
185,186,The Exorcist,1973,USA,132,English,R,204565000.0,8000000
186,187,The Sting,1973,USA,129,English,PG,159600000.0,5500000
187,188,Benji,1974,USA,86,English,G,39552600.0,500000
188,189,Blazing Saddles,1974,USA,93,English,R,119500000.0,2600000
191,192,The Godfather: Part II,1974,USA,220,English,R,57300000.0,13000000
192,193,The Man with the Golden Gun,1974,UK,125,English,PG,21000000.0,13000000
193,194,The Texas Chain Saw Massacre,1974,USA,88,English,R,30859000.0,83532
194,195,The Texas Chain Saw Massacre,1974,USA,88,English,R,30859000.0,83532
195,196,Young Frankenstein,1974,USA,106,English,PG,86300000.0,2800000
198,199,Jaws,1975,USA,130,English,PG,260000000.0,8000000
199,200,Monty Python and the Holy Grail,1975,UK,91,English,PG,1229197.0,229575
200,201,One Flew Over the Cuckoo's Nest,1975,USA,133,English,R,112000000.0,4400000
203,204,Logan's Run,1976,USA,119,English,PG,25000000.0,9000000
206,207,Rocky,1976,USA,145,English,PG,117235247.0,960000
212,213,A Bridge Too Far,1977,USA,175,English,PG,50800000.0,26000000
213,214,Annie Hall,1977,USA,93,English,PG,39200000.0,4000000
215,216,Close Encounters of the Third Kind,1977,USA,135,English,PG,128300000.0,19400870
221,222,Kingdom of the Spiders,1977,USA,97,English,PG,17000000.0,500000
222,223,March or Die,1977,UK,107,English,PG,1000000.0,9000000
225,226,Star Wars: Episode IV - A New Hope,1977,USA,125,English,PG,460935665.0,11000000
227,228,The Spy Who Loved Me,1977,UK,123,English,PG,46800000.0,14000000
229,230,Animal House,1978,USA,109,English,R,141600000.0,3000000
230,231,Caravans,1978,Iran,127,English,PG,1000000.0,14000000
234,235,Grease,1978,USA,110,English,PG-13,181360000.0,6000000
